%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
262,963.32,50300.53,1287.16,51171.25,40022.86,52.86,11.40,2.84,2.86
263,962.49,50308.19,1303.27,51202.75,9022.83,42.83,2.55,2.86,2.83
264,?,?,?,?,?,?,?,2.83,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1279.78,50869.00,83962.94,142.94,24.23,?,2.94
267,957.44,49979.47,1298.17,50887.67,89132.90,142.90,26.14,2.94,2.90
268,961.02,50301.69,1316.37,51221.45,96222.88,92.88,27.80,2.90,2.88
269,969.92,50936.34,1330.10,51846.54,20932.84,92.84,5.94,2.88,2.84
270,977.10,50819.81,1345.84,51704.53,27012.88,82.88,7.82,2.84,2.88
271,?,?,?,?,?,?,?,2.88,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,1344.48,51191.50,125282.95,192.95,37.17,?,2.95
274,984.17,50782.48,1340.21,51691.24,63452.95,52.95,18.78,2.95,2.95
275,987.01,50803.40,1343.11,51709.58,21052.90,62.90,6.19,2.95,2.90
276,988.62,50982.03,1339.95,51911.61,148902.95,282.95,44.40,2.90,2.95
277,992.25,50601.24,1323.45,51511.63,247843.00,383.00,73.76,2.95,3.00
278,?,?,?,?,?,?,?,3.00,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,1339.98,51239.47,108493.00,253.00,32.53,?,3.00
281,993.38,50137.88,1327.31,51021.26,17733.02,83.02,5.39,3.00,3.02
282,996.97,50335.02,1320.08,51215.99,16613.00,73.00,4.98,3.02,3.00
283,1011.15,51806.83,1352.10,52744.48,67853.20,263.20,20.97,3.00,3.20
284,1024.81,52230.47,1345.83,53193.87,96303.11,303.11,29.79,3.20,3.11
285,?,?,?,?,?,?,?,3.11,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,1348.18,53498.97,59953.03,233.03,18.52,?,3.03
288,1039.64,52590.73,1382.18,53588.87,155003.10,253.10,48.11,3.03,3.10
289,1036.86,52861.41,1368.16,53918.41,96453.11,143.11,29.90,3.10,3.11
290,1049.92,52573.59,1375.02,53571.90,16883.08,53.08,5.20,3.11,3.08
