%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
275,987.01,50803.40,1343.11,51709.58,157.50,27.50,0.11,7.50,7.50
276,988.62,50982.03,1339.95,51911.61,27.50,17.50,0.02,7.50,7.50
277,992.25,50601.24,1323.45,51511.63,3507.50,57.50,2.58,7.50,7.50
278,?,?,?,?,?,?,?,7.50,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,1339.98,51239.47,117.49,27.49,0.08,?,7.49
281,993.38,50137.88,1327.31,51021.26,2497.30,17.30,1.82,7.49,7.30
282,996.97,50335.02,1320.08,51215.99,38437.30,197.30,26.91,7.30,7.30
283,1011.15,51806.83,1352.10,52744.48,27.30,17.30,0.01,7.30,7.30
284,1024.81,52230.47,1345.83,53193.87,3106.99,56.99,2.24,7.30,6.99
285,?,?,?,?,?,?,?,6.99,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,1348.18,53498.97,9187.20,97.20,6.47,?,7.20
288,1039.64,52590.73,1382.18,53588.87,3687.10,57.10,2.65,7.20,7.10
289,1036.86,52861.41,1368.16,53918.41,1157.10,47.10,0.81,7.10,7.10
290,1049.92,52573.59,1375.02,53571.90,51917.48,137.48,37.51,7.10,7.48
291,1051.86,52587.24,1361.11,53572.92,11237.84,117.84,8.71,7.48,7.84
292,?,?,?,?,?,?,?,7.84,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,1389.98,54903.39,12727.95,67.95,10.05,?,7.95
295,1078.51,53781.81,1383.79,54818.06,13287.62,87.62,10.38,7.95,7.62
296,1074.66,53389.74,1387.21,54433.41,27.61,17.61,0.02,7.62,7.61
297,1083.34,53994.46,1392.05,55063.75,2597.61,37.61,1.97,7.61,7.61
