%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
176,2363.41,2821.05,44966.09,2357.80,3460.00,6544.68,45672.10,802695.00,4995.00,763.01,94.88,95.00
177,2357.52,2807.75,44893.99,2333.53,3451.37,6578.62,45601.51,14466293.62,9693.62,13458.18,95.00,93.62
178,2286.99,2736.47,43667.37,2250.80,3348.11,6412.05,44326.49,18671090.50,10290.50,17481.28,93.62,90.50
179,2357.01,2776.93,44747.79,2334.15,3450.62,6598.44,45442.51,3636694.66,17894.66,3405.88,90.50,94.66
180,?,?,?,?,?,?,?,?,?,?,94.66,?
181,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2809.58,44769.00,2346.58,3451.57,6479.86,45461.06,9376294.40,3094.40,8814.40,?,94.40
183,2407.09,2832.22,45533.94,2387.78,3523.94,6571.59,46254.71,4389595.01,7395.01,4172.29,94.40,95.01
184,2384.58,2815.62,45184.98,2382.08,3494.73,6442.00,45899.36,3520892.30,5692.30,3340.00,95.01,92.30
185,2405.42,2833.65,45613.75,2398.24,3525.27,6504.87,46344.42,1406993.20,1993.20,1312.28,92.30,93.20
186,2372.96,2823.50,45110.89,2379.17,3477.69,6438.37,45805.34,218693.32,2593.32,204.21,93.20,93.32
187,?,?,?,?,?,?,?,?,?,?,93.32,?
188,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2780.48,44534.34,2329.18,3424.36,6390.13,45172.40,667992.58,6192.58,620.97,?,92.58
190,2330.27,2753.06,44342.23,2329.35,3415.12,6385.54,44969.23,4098693.00,4093.00,3854.18,92.58,93.00
191,2360.11,2792.18,45068.55,2370.74,3482.45,6527.93,45727.71,4080595.00,18495.00,3859.46,93.00,95.00
192,2394.81,2830.11,45712.72,2399.69,3533.66,6602.82,46390.36,1515894.50,15394.50,1441.47,95.00,94.50
193,2418.20,2859.48,46150.78,2414.72,3568.17,6709.26,46839.89,4084494.80,5494.80,3870.78,94.50,94.80
194,?,?,?,?,?,?,?,?,?,?,94.80,?
195,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2869.26,46218.05,2415.20,3572.94,6759.32,46922.43,7312194.50,5494.50,6937.23,?,94.50
197,2418.21,2865.65,46155.10,2404.94,3568.19,6792.22,46860.35,2574895.95,4495.95,2435.50,94.50,95.95
198,2424.23,2869.34,46287.08,2417.44,3581.34,6850.07,47003.76,6986796.20,8396.20,6724.34,95.95,96.20
199,2418.23,2886.09,46221.23,2417.37,3572.47,6842.98,46919.83,14587597.50,19097.50,14226.78,96.20,97.50
