%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
281,993.38,50137.88,3519.36,853.05,01.11,01.11,0.00,1.11,1.11
282,996.97,50335.02,3561.38,858.02,01.11,01.11,0.00,1.11,1.11
283,1011.15,51806.83,3648.78,862.39,01.11,01.11,0.00,1.11,1.11
284,1024.81,52230.47,3656.01,862.70,01.11,01.11,0.00,1.11,1.11
285,?,?,?,?,?,?,?,1.11,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,3648.47,860.18,20521.00,61.00,2.05,?,1.00
288,1039.64,52590.73,3614.40,855.88,22781.00,61.00,2.28,1.00,1.00
289,1036.86,52861.41,3568.21,844.25,150.97,10.97,0.01,1.00,0.97
290,1049.92,52573.59,3637.13,855.32,00.97,00.97,0.00,0.97,0.97
291,1051.86,52587.24,3669.50,849.56,00.97,00.97,0.00,0.97,0.97
292,?,?,?,?,?,?,?,0.97,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,3737.21,846.22,00.97,00.97,0.00,?,0.97
295,1078.51,53781.81,3771.51,846.38,00.97,00.97,0.00,0.97,0.97
296,1074.66,53389.74,3696.25,823.65,00.97,00.97,0.00,0.97,0.97
297,1083.34,53994.46,3739.61,822.54,00.97,00.97,0.00,0.97,0.97
298,1095.80,53887.13,3516.88,808.48,100.96,20.96,0.01,0.97,0.96
299,?,?,?,?,?,?,?,0.96,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,3427.82,809.15,58130.92,100.92,5.00,?,0.92
302,1114.63,54536.95,3478.84,813.37,00.92,00.92,0.00,0.92,0.92
303,1107.62,54095.32,3394.12,806.76,00.92,00.92,0.00,0.92,0.92
304,1109.36,53607.86,3362.26,799.19,52100.88,80.88,4.50,0.92,0.88
305,?,?,?,?,?,?,?,0.88,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,3422.88,801.72,11940,7,10.20,?,0.85
309,1101.37,53504.47,3437.50,799.00,12505,7,11.44,0.85,0.93
310,1106.35,53924.01,3426.03,804.57,2400,3,2.35,0.93,0.98
340,991.5027484429278,45857.110734846676,2864.893371122059,772.4384498456855,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,2842.611796073331,764.8922210495718,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,2820.330221024603,757.345992253458,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,2753.4854958784194,734.7073058651168,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,2619.796045586054,689.4299330884348,?,?,?,?,?,? 
