%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
248,890.19,45830.66,1761.23,46598.42,3061.25,859323.68,1033.68,325.71,3.99,3.68
249,902.70,46717.04,1820.13,47514.09,3142.61,557983.75,1143.75,208.62,3.68,3.75
250,?,?,?,?,?,?,?,?,3.75,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1848.42,48651.54,3199.68,489593.74,783.74,183.17,?,3.74
253,931.39,48961.51,1921.50,49839.90,3256.85,647283.60,1303.60,238.46,3.74,3.60
254,934.25,49437.02,1935.28,50312.63,3285.29,353703.50,913.50,124.65,3.60,3.50
255,943.52,49771.55,1981.13,50644.38,3303.55,393143.55,793.55,139.87,3.50,3.55
256,948.06,49348.61,1986.17,50196.31,3285.49,450863.50,663.50,158.13,3.55,3.50
257,?,?,?,?,?,?,?,?,3.50,?
258,?,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1997.16,49741.35,3260.05,473883.34,1103.34,159.78,?,3.34
260,960.97,49434.46,1994.79,50258.11,3286.61,202493.44,503.44,68.96,3.34,3.44
261,957.28,49413.33,1985.11,50227.43,3277.41,565713.49,953.49,196.32,3.44,3.49
262,963.32,50300.53,2000.89,51171.25,3316.59,566133.48,2103.48,198.24,3.49,3.48
263,962.49,50308.19,2005.00,51202.75,3316.08,210773.45,663.45,72.71,3.48,3.45
264,?,?,?,?,?,?,?,?,3.45,?
265,?,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1988.08,50869.00,3291.57,215303.45,533.45,74.54,?,3.45
267,957.44,49979.47,1972.58,50887.67,3275.67,272233.45,583.45,93.68,3.45,3.45
268,961.02,50301.69,1979.81,51221.45,3299.72,2321853.66,3703.66,875.26,3.45,3.66
269,969.92,50936.34,1986.14,51846.54,3336.44,1586343.49,2563.49,566.23,3.66,3.49
270,977.10,50819.81,1999.08,51704.53,3352.18,642273.35,1223.35,220.03,3.49,3.35
271,?,?,?,?,?,?,?,?,3.35,?
272,?,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,2010.06,51191.50,3349.29,586453.35,833.35,198.36,?,3.35
274,984.17,50782.48,2007.69,51691.24,3351.68,278023.36,393.36,93.88,3.35,3.36
275,987.01,50803.40,2016.99,51709.58,3364.40,209963.38,493.38,70.46,3.36,3.38
276,988.62,50982.03,2073.65,51911.61,3383.62,1691913.42,1773.42,586.12,3.38,3.42
277,992.25,50601.24,2097.98,51511.63,3381.52,270473.45,413.45,92.26,3.42,3.45
278,?,?,?,?,?,?,?,?,3.45,?
279,?,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,2120.60,51239.47,3383.60,185893.44,373.44,64.21,?,3.44
281,993.38,50137.88,2131.10,51021.26,3368.14,270973.37,533.37,92.05,3.44,3.37
282,996.97,50335.02,2126.57,51215.99,3379.96,202633.39,493.39,68.68,3.37,3.39
283,1011.15,51806.83,2150.38,52744.48,3454.41,174583.44,473.44,59.48,3.39,3.44
284,1024.81,52230.47,2175.63,53193.87,3477.04,1476273.79,2463.79,542.50,3.44,3.79
285,?,?,?,?,?,?,?,?,3.79,?
286,?,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,2196.86,53498.97,3508.85,3345604.65,6394.65,1453.03,?,4.65
288,1039.64,52590.73,2249.42,53588.87,3544.07,3430824.65,6724.65,1684.75,4.65,4.65
289,1036.86,52861.41,2267.93,53918.41,3548.14,2378594.95,4374.95,1180.53,4.65,4.95
290,1049.92,52573.59,2280.53,53571.90,3572.96,1088305.05,2245.05,556.51,4.95,5.05
291,1051.86,52587.24,2320.78,53572.92,3535.97,500924.90,1114.90,245.58,5.05,4.90
292,?,?,?,?,?,?,?,?,4.90,?
293,?,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,2342.90,54903.39,3606.06,651984.95,1264.95,324.12,?,4.95
295,1078.51,53781.81,2351.77,54818.06,3615.60,302114.98,704.98,149.40,4.95,4.98
296,1074.66,53389.74,2357.93,54433.41,3596.10,1269355.23,2605.23,653.82,4.98,5.23
297,1083.34,53994.46,2411.97,55063.75,3637.76,1394955.56,3005.56,760.78,5.23,5.56
298,1095.80,53887.13,2452.72,55023.42,3651.19,1221305.81,2585.81,699.41,5.56,5.81
299,?,?,?,?,?,?,?,?,5.81,?
300,?,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,2458.33,55362.19,3660.45,2502756.60,5426.60,1645.48,?,6.60
302,1114.63,54536.95,2476.37,55688.45,3688.57,878936.55,2716.55,576.41,6.60,6.55
303,1107.62,54095.32,2472.94,55240.01,3660.80,1635836.05,4426.05,995.91,6.55,6.05
304,1109.36,53607.86,2475.98,54734.18,3628.73,2223265.59,4265.59,1258.64,6.05,5.59
305,?,?,?,?,?,?,?,?,5.59,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,2482.39,55121.60,3668.56,182436,387,969.92,?,5.14
309,1101.37,53504.47,2450.55,54600.05,3645.18,98513,274,525.88,5.14,5.39
310,1106.35,53924.01,2477.66,55035.36,3650.27,84562,168,469.31,5.39,5.60
340,991.5027484429278,45857.110734846676,2077.6816212987255,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
